Model,Dataset,Atlas,Task,Seed,Accuracy,F1,AUC,AP,BAC,Sensitivity,Specificity,Precision,MCC,Kappa
BrainNetCNN,ABIDE_BNT,cc400,DX,1,0.7326732673267327,0.6746987951807228,0.841687552213868,0.7698190723420197,0.733500417710944,0.7368421052631579,0.7301587301587301,0.6222222222222222,0.455176110171112,0.4505339512391698
BrainNetCNN,ABIDE_BNT,cc200,DX,1,0.693069306930693,0.5866666666666667,0.7564745196324145,0.6526253882378159,0.6704260651629073,0.5789473684210527,0.7619047619047619,0.5945945945945946,0.3427182540605737,0.3426411925257191
BrainNetCNN,ABIDE_BNT,aal,DX,1,0.6336633663366337,0.4788732394366197,0.6591478696741855,0.5352990292443114,0.5967000835421888,0.4473684210526316,0.746031746031746,0.5151515151515151,0.1997595227173183,0.198584602187433
BrainNetCNN,ABIDE_BNT,ho,DX,1,0.495049504950495,0.4848484848484848,0.4344193817878028,0.325963510541205,0.5221386800334169,0.631578947368421,0.4126984126984127,0.3934426229508196,0.0438580056391206,0.0395301137423084
BrainNetCNN,ABIDE_BNT,cc400,DX,42,0.7128712871287128,0.6329113924050633,0.7589807852965749,0.646799323601915,0.7019632414369257,0.6578947368421053,0.746031746031746,0.6097560975609756,0.3984711172419176,0.3976968949208307
BrainNetCNN,ABIDE_BNT,cc200,DX,42,0.594059405940594,0.616822429906542,0.7571010860484545,0.6390778563536932,0.6484962406015038,0.868421052631579,0.4285714285714285,0.4782608695652174,0.3092487786984969,0.2556174725867337
BrainNetCNN,ABIDE_BNT,aal,DX,42,0.495049504950495,0.5714285714285714,0.6236424394319131,0.4633668378136932,0.5743525480367586,0.8947368421052632,0.2539682539682539,0.419753086419753,0.1807716897871492,0.1214395360736824
BrainNetCNN,ABIDE_BNT,ho,DX,42,0.7128712871287128,0.6813186813186813,0.7990810359231411,0.7532794279099249,0.7332915622389307,0.8157894736842105,0.6507936507936508,0.5849056603773585,0.4526187559348006,0.4326941700561689
BrainNetCNN,ABIDE_BNT,cc400,DX,123,0.6633663366336634,0.6136363636363636,0.7786131996658312,0.7151204285400412,0.6727234753550543,0.7105263157894737,0.6349206349206349,0.54,0.3347135903186834,0.3250786163522012
BrainNetCNN,ABIDE_BNT,cc200,DX,123,0.693069306930693,0.6804123711340206,0.8153717627401839,0.7612357311408842,0.7278613199665831,0.868421052631579,0.5873015873015873,0.559322033898305,0.4479319352655989,0.4106907585168455
BrainNetCNN,ABIDE_BNT,aal,DX,123,0.6534653465346535,0.5977011494252874,0.7155388471177945,0.5981101451950116,0.6595655806182121,0.6842105263157895,0.6349206349206349,0.5306122448979592,0.3093367894181529,0.3017973533478175
BrainNetCNN,ABIDE_BNT,ho,DX,123,0.7128712871287128,0.6666666666666666,0.8003341687552215,0.7528156377877772,0.7228487886382624,0.7631578947368421,0.6825396825396826,0.5918367346938775,0.4320187883627869,0.4214892356310488
BrainNetCNN,ABIDE_BNT,cc400,DX,456,0.7029702970297029,0.6153846153846154,0.7673350041771095,0.6595189314866321,0.6888053467000835,0.631578947368421,0.746031746031746,0.6,0.3740343122430666,0.3737081438610996
BrainNetCNN,ABIDE_BNT,cc200,DX,456,0.5742574257425742,0.5168539325842697,0.6833751044277361,0.5928040388332132,0.5804093567251463,0.6052631578947368,0.5555555555555556,0.4509803921568627,0.1558219253599675,0.1505965186778799
BrainNetCNN,ABIDE_BNT,aal,DX,456,0.6534653465346535,0.5882352941176471,0.6879699248120301,0.6128642188286236,0.654344193817878,0.6578947368421053,0.6507936507936508,0.5319148936170213,0.2998034018696022,0.2948334330740075
BrainNetCNN,ABIDE_BNT,ho,DX,456,0.6732673267326733,0.6024096385542169,0.7510442773600668,0.6944358258557967,0.6702172096908939,0.6578947368421053,0.6825396825396826,0.5555555555555556,0.3318144273608732,0.3284303848478743
BrainNetCNN,ABIDE_BNT,cc200,DX,789,0.7128712871287128,0.6588235294117647,0.7460317460317462,0.705523314705002,0.7176274018379281,0.7368421052631579,0.6984126984126984,0.5957446808510638,0.4227268535157313,0.4157191302613205
BrainNetCNN,ABIDE_BNT,aal,DX,789,0.6435643564356436,0.5813953488372093,0.7443609022556391,0.6281501919480468,0.6464076858813701,0.6578947368421053,0.6349206349206349,0.5208333333333334,0.2840516991139617,0.278285033743549
BrainNetCNN,ABIDE_BNT,ho,DX,789,0.6138613861386139,0.5894736842105263,0.7314118629908104,0.6038577519852869,0.6382623224728488,0.7368421052631579,0.5396825396825397,0.4912280701754385,0.2701669067034156,0.2515675470264108
bnt,ABIDE_BNT,cc400,DX,1,0.594059405940594,0.6095238095238096,0.6984126984126984,0.5544067854106595,0.6432748538011696,0.8421052631578947,0.4444444444444444,0.4776119402985074,0.2937549427340531,0.2488663159804099
bnt,ABIDE_BNT,cc200,DX,1,0.7029702970297029,0.6052631578947368,0.7898913951545531,0.7354840859516965,0.6835839598997493,0.6052631578947368,0.7619047619047619,0.6052631578947368,0.3671679197994987,0.3671679197994988
bnt,ABIDE_BNT,aal,DX,1,0.6732673267326733,0.3529411764705882,0.722639933166249,0.5957657075435506,0.5866750208855472,0.2368421052631578,0.9365079365079364,0.6923076923076923,0.2507685169016629,0.1993754503963488
bnt,ABIDE_BNT,cc400,DX,42,0.6633663366336634,0.6304347826086957,0.7903091060985798,0.6473596486140806,0.6831662489557226,0.7631578947368421,0.6031746031746031,0.5370370370370371,0.3557883402430867,0.3380878951426368
bnt,ABIDE_BNT,cc200,DX,42,0.693069306930693,0.6265060240963856,0.7761069340016709,0.7078610712243388,0.691311612364244,0.6842105263157895,0.6984126984126984,0.5777777777777777,0.3729349882976195,0.3691315736449728
bnt,ABIDE_BNT,aal,DX,42,0.5742574257425742,0.6194690265486725,0.8162071846282373,0.7243434366557129,0.6430659983291562,0.9210526315789472,0.365079365079365,0.4666666666666667,0.3170379073920988,0.2398039558900752
bnt,ABIDE_BNT,cc400,DX,123,0.7524752475247525,0.691358024691358,0.7969924812030075,0.6831505142818713,0.7493734335839599,0.7368421052631579,0.7619047619047619,0.6511627906976745,0.4886456412472153,0.486057398738042
bnt,ABIDE_BNT,cc200,DX,123,0.7326732673267327,0.6197183098591549,0.8028404344193818,0.762859073965687,0.702172096908939,0.5789473684210527,0.8253968253968254,0.6666666666666666,0.4176397796768124,0.4151833583529917
bnt,ABIDE_BNT,aal,DX,123,0.6732673267326733,0.4406779661016949,0.7255639097744361,0.6193383887610671,0.6075605680868839,0.3421052631578947,0.873015873015873,0.6190476190476191,0.256797336631218,0.2360760944304377
bnt,ABIDE_BNT,cc400,DX,456,0.6831683168316832,0.627906976744186,0.7489557226399333,0.6009921543093831,0.6885964912280702,0.7105263157894737,0.6666666666666666,0.5625,0.3659039718971575,0.3584755855498214
bnt,ABIDE_BNT,cc200,DX,456,0.6138613861386139,0.5894736842105263,0.7598162071846283,0.6621347107678267,0.6382623224728488,0.7368421052631579,0.5396825396825397,0.4912280701754385,0.2701669067034156,0.2515675470264108
bnt,ABIDE_BNT,aal,DX,456,0.5643564356435643,0.6140350877192983,0.6336675020885547,0.4563107676609343,0.6351294903926483,0.9210526315789472,0.3492063492063492,0.4605263157894737,0.3033649535391905,0.22551411641687
bnt,ABIDE_BNT,cc400,DX,789,0.6039603960396039,0.6226415094339622,0.7794486215538847,0.6745516888689687,0.6564327485380117,0.868421052631579,0.4444444444444444,0.4852941176470588,0.3231530939854674,0.2704947634525099
bnt,ABIDE_BNT,cc200,DX,789,0.7623762376237624,0.6470588235294118,0.8032581453634086,0.7416730898348223,0.7259816207184628,0.5789473684210527,0.873015873015873,0.7333333333333333,0.479154295689133,0.4716652136006974
bnt,ABIDE_BNT,aal,DX,789,0.6732673267326733,0.547945205479452,0.7084377610693402,0.6225843299411687,0.644110275689223,0.5263157894736842,0.7619047619047619,0.5714285714285714,0.2934141322587347,0.2928071292170592
fbnetgen,ABIDE_BNT,cc400,DX,1,0.6831683168316832,0.627906976744186,0.7589807852965748,0.6151760926790012,0.6885964912280702,0.7105263157894737,0.6666666666666666,0.5625,0.3659039718971575,0.3584755855498214
fbnetgen,ABIDE_BNT,cc200,DX,1,0.5742574257425742,0.5168539325842697,0.6616541353383459,0.5626236460892589,0.5804093567251463,0.6052631578947368,0.5555555555555556,0.4509803921568627,0.1558219253599675,0.1505965186778799
fbnetgen,ABIDE_BNT,aal,DX,1,0.594059405940594,0.6019417475728155,0.6934001670843776,0.5319563051709683,0.6380534670008354,0.8157894736842105,0.4603174603174603,0.4769230769230769,0.2792746124062479,0.2419915797181036
fbnetgen,ABIDE_BNT,cc400,DX,42,0.6336633663366337,0.5432098765432098,0.7180451127819549,0.5837013120978457,0.6228070175438596,0.5789473684210527,0.6666666666666666,0.5116279069767442,0.2406395620212417,0.239364950132302
fbnetgen,ABIDE_BNT,cc200,DX,42,0.6534653465346535,0.5882352941176471,0.6842105263157895,0.5548313813594585,0.654344193817878,0.6578947368421053,0.6507936507936508,0.5319148936170213,0.2998034018696022,0.2948334330740075
fbnetgen,ABIDE_BNT,aal,DX,42,0.6039603960396039,0.5348837209302325,0.6353383458646616,0.530158773759224,0.60421888053467,0.6052631578947368,0.6031746031746031,0.4791666666666667,0.2021994263307659,0.1980944819372767
