Model,Dataset,Atlas,Task,Seed,Accuracy,F1,AUC,AP,BAC,Sensitivity,Specificity,Precision,MCC,Kappa
brainnetcnn,ADHD200,cc400,DX,1,0.5620437956204379,0.5,0.6296414852752882,0.633549941064244,0.567328211694409,0.4225352112676056,0.7121212121212122,0.6122448979591837,0.1403746999679131,0.1330942839063489
brainnetcnn,ADHD200,cc400,DX,42,0.5766423357664233,0.5,0.6105420401195049,0.6649216866958324,0.5830132309005549,0.4084507042253521,0.7575757575757576,0.6444444444444445,0.1766356188750661,0.1637549989475899
brainnetcnn,ADHD200,cc400,DX,123,0.5547445255474452,0.4873949579831932,0.5840802390098165,0.6525947337049648,0.5602859581732822,0.4084507042253521,0.7121212121212122,0.6041666666666666,0.1262791598095364,0.1191103615473805
brainnetcnn,ADHD200,cc400,DX,456,0.583941605839416,0.5714285714285714,0.5919760990183527,0.5902258180837991,0.5857874519846351,0.5352112676056338,0.6363636363636364,0.6129032258064516,0.1722377843671909,0.1707550175215035
brainnetcnn,ADHD200,cc400,DX,789,0.5255474452554745,0.4444444444444444,0.6045667947076397,0.6207784761316097,0.5315834400341443,0.3661971830985915,0.696969696969697,0.5652173913043478,0.0668330001159185,0.0623354743603242
graphtransformer,ADHD200,cc400,DX,1,0.5985401459854015,0.5299145299145299,0.5956039265898422,0.6395003679570221,0.604673495518566,0.4366197183098591,0.7727272727272727,0.6739130434782609,0.2214972064652569,0.2065915552279666
graphtransformer,ADHD200,cc400,DX,42,0.5547445255474452,0.4403669724770642,0.5985915492957747,0.6386719365465945,0.5629534784464362,0.3380281690140845,0.7878787878787878,0.631578947368421,0.1405210783574164,0.1237286358393625
graphtransformer,ADHD200,cc400,DX,123,0.5474452554744526,0.4561403508771929,0.5938967136150235,0.6184102037623929,0.554310712761417,0.3661971830985915,0.7424242424242424,0.6046511627906976,0.1169549171476258,0.1070227081581161
graphtransformer,ADHD200,cc400,DX,456,0.5401459854014599,0.4,0.5951771233461375,0.6203941986992566,0.5494024754588135,0.2957746478873239,0.803030303030303,0.6176470588235294,0.1142935646694968,0.0968923302291514
graphtransformer,ADHD200,cc400,DX,789,0.5036496350364964,0.3928571428571428,0.5725565514297909,0.5954503726122817,0.5109901835253948,0.3098591549295774,0.7121212121212122,0.5365853658536586,0.0239832777862364,0.0216341104809913
